time(s)	cellId	rnti	lcid	packetSize
3.36226	2	5	3	54
3.36228	2	1	3	54
3.36251	2	1	3	54
3.36272	2	1	3	54
3.36276	2	5	3	54
3.36281	2	1	3	54
3.36317	2	5	3	54
3.36322	2	1	3	54
3.36325	2	1	3	54
3.3635	2	1	3	54
3.36367	2	5	3	54
3.36372	2	1	3	54
3.36394	2	1	3	54
3.36411	2	5	3	54
3.36421	2	1	3	54
3.36437	2	3	3	54
3.36439	2	1	3	54
3.36461	2	5	3	54
3.36463	2	1	3	54
3.36475	2	1	3	54
3.36497	2	1	3	54
3.36511	2	5	3	54
3.36519	2	1	3	54
3.36547	2	1	3	54
3.36561	2	5	3	54
3.36564	2	1	3	54
3.36575	2	1	3	54
3.36597	2	1	3	54
3.36617	2	5	3	54
3.36619	2	1	3	54
3.36648	2	5	3	54
3.36673	2	5	3	54
3.36698	2	5	3	54
3.36724	2	5	3	54
3.36748	2	5	3	54
3.36773	2	5	3	54
3.36798	2	5	3	54
3.36823	2	5	3	54
3.36849	2	5	3	54
3.36874	2	5	3	54
3.36898	2	5	3	54
3.36923	2	5	3	54
3.36948	2	5	3	54
3.36974	2	5	3	54
3.36998	2	5	3	54
3.37023	2	5	3	54
3.37048	2	5	3	54
3.37073	2	5	3	54
3.371	2	5	3	54
3.37656	2	3	3	54
3.39144	2	7	3	54
3.39152	2	7	3	54
3.39156	2	6	3	54
3.39175	2	6	3	54
3.39188	2	7	3	54
3.39196	2	7	3	54
3.392	2	6	3	54
3.39219	2	7	3	54
3.39221	2	6	3	54
3.39238	2	7	3	54
3.39246	2	6	3	54
3.39256	2	6	3	54
3.39263	2	7	3	54
3.39275	2	7	3	54
3.39281	2	6	3	54
3.39294	2	7	3	54
3.393	2	6	3	54
3.39319	2	7	3	54
3.39321	2	6	3	54
3.39338	2	6	3	54
3.39344	2	7	3	54
3.39356	2	7	3	54
3.39363	2	6	3	54
3.39375	2	7	3	54
3.39381	2	6	3	54
3.394	2	7	3	54
3.39402	2	6	3	54
3.39419	2	6	3	54
3.39425	2	7	3	54
3.39438	2	7	3	54
3.39444	2	6	3	54
3.39456	2	7	3	54
3.39463	2	6	3	54
3.39475	2	7	3	54
3.39481	2	6	3	54
3.395	2	6	3	54
3.39506	2	7	3	54
3.39519	2	7	3	54
3.39525	2	6	3	54
3.39538	2	7	3	54
3.39544	2	6	3	54
3.39556	2	7	3	54
3.39563	2	6	3	54
3.39581	2	7	3	54
3.39584	2	6	3	54
3.396	2	7	3	54
3.39609	2	6	3	54
3.39619	2	7	3	54
3.39625	2	6	3	54
3.39638	2	7	3	54
3.39644	2	6	3	54
3.39663	2	7	3	54
