time(s)	cellId	rnti	lcid	packetSize	delay(s)
3.36141	2	5	3	56	0.000278568
3.36191	2	5	3	56	0.000278568
3.36235	2	5	3	56	0.000278568
3.36291	2	5	3	56	0.000278568
3.36341	2	5	3	56	0.000278568
3.36378	2	5	3	56	0.000278568
3.36428	2	5	3	56	0.000278568
3.36472	2	5	3	56	0.000278568
3.36497	2	3	3	56	0.000278568
3.36522	2	5	3	56	0.000278568
3.36572	2	5	3	56	0.000278568
3.36622	2	5	3	56	0.000278568
3.36678	2	5	3	110	0.000274104
3.36722	2	5	3	60	0.000278568
3.3676	2	5	3	110	0.000278568
3.36803	2	5	3	110	0.000274104
3.36847	2	5	3	63	0.000278568
3.36885	2	5	3	110	0.000278568
3.36928	2	5	3	110	0.000278568
3.36972	2	5	3	63	0.000278568
3.3701	2	5	3	110	0.000278568
3.37053	2	5	3	110	0.000278568
3.37097	2	5	3	63	0.000278568
3.37135	2	5	3	110	0.000278568
3.37178	2	5	3	4	0.000274104
3.37716	2	3	3	56	0.000278568
3.3921	2	7	3	110	0.000278568
3.39222	2	6	3	110	0.000278568
3.39253	2	7	3	110	0.000278568
3.39266	2	6	3	110	0.000278568
3.39297	2	7	3	110	0.000278568
3.3931	2	6	3	110	0.000278568
3.39341	2	7	3	110	0.000278568
3.39353	2	6	3	110	0.000278568
3.39385	2	7	3	110	0.000278568
3.39397	2	6	3	110	0.000278568
3.39428	2	7	3	231	0.000278568
3.3944	2	6	3	110	0.000274104
3.39472	2	7	3	110	0.000278568
3.39485	2	6	3	110	0.000278568
3.39516	2	7	3	110	0.000278568
3.39528	2	6	3	110	0.000278568
3.39559	2	7	3	110	0.000274104
3.39572	2	6	3	231	0.000278568
3.39603	2	7	3	110	0.000278568
3.39616	2	6	3	110	0.000278568
3.39647	2	7	3	110	0.000278568
3.3966	2	6	3	110	0.000278568
3.39691	2	7	3	110	0.000278568
3.39703	2	6	3	110	0.000278568
3.39735	2	7	3	110	0.000278568
3.39747	2	6	3	110	0.000278568
3.39778	2	7	3	110	0.000278568
3.39791	2	6	3	110	0.000278568
3.39822	2	7	3	110	0.000278568
3.39835	2	6	3	110	0.000278568
3.39866	2	7	3	231	0.000278568
3.39878	2	6	3	110	0.000278568
3.3991	2	7	3	110	0.000278568
3.39922	2	6	3	110	0.000278568
3.39953	2	7	3	110	0.000278568
3.39966	2	6	3	110	0.000278568
3.39997	2	7	3	110	0.000278568
3.4001	2	6	3	110	0.000278568
3.40041	2	7	3	110	0.000278568
3.40053	2	6	3	159	0.000278568
3.40085	2	7	3	208	0.000278568
3.40091	2	6	3	110	0.000278568
3.40134	2	6	3	110	0.000274104
3.40135	2	7	3	110	0.000278568
3.40177	2	6	3	110	0.00026964
3.40178	2	7	3	110	0.000274104
3.40222	2	6	3	110	0.000274104
3.40222	2	7	3	110	0.000278568
3.40265	2	6	3	110	0.000274104
3.40266	2	7	3	110	0.000278568
3.40309	2	6	3	231	0.000274104
3.4031	2	7	3	110	0.000278568
3.40353	2	6	3	110	0.000274104
3.40353	2	7	3	110	0.000278568
3.40397	2	6	3	110	0.000274104
3.40397	2	7	3	110	0.000278568
3.4044	2	6	3	110	0.00026964
3.4044	2	7	3	110	0.000274104
3.40484	2	6	3	110	0.000274104
3.40485	2	7	3	110	0.000278568
3.40528	2	6	3	110	0.000274104
3.40528	2	7	3	110	0.000278568
3.40571	2	6	3	110	0.00026964
3.40572	2	7	3	231	0.000278568
3.40615	2	6	3	110	0.000274104
3.40616	2	7	3	80	0.000278568
3.4066	2	6	3	141	0.000278568
3.41016	2	3	3	56	0.000278568
3.42985	2	5	3	110	0.000278568
3.43028	2	5	3	110	0.000278568
3.43072	2	5	3	63	0.000278568
3.43116	2	5	3	56	0.000278568
3.43153	2	5	3	56	0.000278568
3.43191	2	5	3	56	0.000278568
3.43241	2	5	3	110	0.000278568
3.43284	2	5	3	60	0.000274104
3.43322	2	5	3	110	0.000278568
3.43366	2	5	3	110	0.000278568
3.4341	2	5	3	63	0.000278568
3.43447	2	5	3	110	0.000278568
3.43491	2	5	3	60	0.000278568
3.43528	2	5	3	110	0.000278568
3.43572	2	5	3	110	0.000278568
3.43616	2	5	3	110	0.000278568
3.4366	2	5	3	110	0.000278568
3.43703	2	5	3	69	0.000278568
3.43741	2	5	3	110	0.000278568
3.43784	2	5	3	110	0.000274104
3.43828	2	5	3	63	0.000278568
3.43866	2	5	3	110	0.000278568
3.4391	2	5	3	110	0.000278568
3.43916	2	3	3	56	0.000278568
3.43953	2	5	3	63	0.000278568
3.43991	2	5	3	110	0.000278568
3.44035	2	5	3	110	0.000278568
3.44078	2	5	3	63	0.000278568
3.44116	2	5	3	110	0.000278568
3.4416	2	5	3	110	0.000278568
3.44203	2	5	3	63	0.000278568
3.44241	2	5	3	110	0.000278568
3.44284	2	5	3	110	0.000274104
3.44328	2	5	3	63	0.000278568
3.44366	2	5	3	110	0.000278568
3.4441	2	5	3	110	0.000278568
3.44453	2	5	3	63	0.000278568
3.44491	2	5	3	110	0.000278568
3.44535	2	5	3	110	0.000278568
3.44578	2	5	3	63	0.000278568
3.44616	2	5	3	110	0.000278568
3.4466	2	5	3	110	0.000278568
3.44703	2	5	3	63	0.000278568
