Time	CellId	RNTI	BWPId	StreamId	SINR(dB)
4.463e-06	2	0	0	0	55.7296
4.463e-06	2	0	0	0	56.8496
4.463e-06	2	0	0	0	47.6587
4.463e-06	2	0	0	0	45.4789
4.463e-06	2	0	0	0	51.2074
4.463e-06	2	0	0	0	50.0906
4.463e-06	2	0	0	0	49.7302
4.463e-06	2	0	0	0	50.0951
0.00500446	2	0	0	0	55.4742
0.00500446	2	0	0	0	56.9236
0.00500446	2	0	0	0	47.5266
0.00500446	2	0	0	0	45.4193
0.00500446	2	0	0	0	48.6652
0.00500446	2	0	0	0	52.5687
0.00500446	2	0	0	0	49.2116
0.00500446	2	0	0	0	50.1547
0.0100045	2	0	0	0	55.4742
0.0100045	2	0	0	0	56.9236
0.0100045	2	0	0	0	47.5266
0.0100045	2	0	0	0	45.4193
0.0100045	2	0	0	0	48.6652
0.0100045	2	0	0	0	52.5687
0.0100045	2	0	0	0	49.2116
0.0100045	2	0	0	0	50.1547
0.0150045	2	0	0	0	55.4742
0.0150045	2	0	0	0	56.9236
0.0150045	2	0	0	0	47.5266
0.0150045	2	0	0	0	45.4193
0.0150045	2	0	0	0	48.6652
0.0150045	2	0	0	0	52.5687
0.0150045	2	0	0	0	49.2116
0.0150045	2	0	0	0	50.1547
0.0162545	2	0	0	0	55.4742
0.0162545	2	0	0	0	56.9236
0.0162545	2	0	0	0	47.5266
0.0162545	2	0	0	0	45.4193
0.0162545	2	0	0	0	48.6652
0.0162545	2	0	0	0	52.5687
0.0162545	2	0	0	0	49.2116
0.0162545	2	0	0	0	50.1547
0.0163795	2	8	0	0	55.4742
0.0163795	2	7	0	0	56.9236
0.0163795	2	6	0	0	47.5266
0.0163795	2	5	0	0	45.4193
0.0163795	2	4	0	0	48.6652
0.0163795	2	3	0	0	52.5687
0.0163795	2	2	0	0	49.2116
0.0163795	2	1	0	0	50.1547
0.0165045	2	8	0	0	55.4742
0.0165045	2	7	0	0	56.9236
0.0165045	2	6	0	0	47.5266
0.0165045	2	5	0	0	45.4193
0.0165045	2	4	0	0	48.6652
0.0165045	2	3	0	0	52.5687
0.0165045	2	2	0	0	49.2116
0.0165045	2	1	0	0	50.1547
0.017567	2	8	0	0	55.4742
0.017567	2	7	0	0	56.9236
0.017567	2	6	0	0	47.5266
0.017567	2	5	0	0	45.4193
0.017567	2	4	0	0	48.6652
0.017567	2	3	0	0	52.5687
0.017567	2	2	0	0	49.2116
0.017567	2	1	0	0	50.1547
0.0177545	2	8	0	0	55.4742
0.0177545	2	7	0	0	56.9236
0.0177545	2	6	0	0	47.5266
0.0177545	2	5	0	0	45.4193
0.0177545	2	4	0	0	48.6652
0.0177545	2	3	0	0	52.5687
0.0177545	2	2	0	0	49.2116
0.0177545	2	1	0	0	50.1547
0.018442	2	8	0	0	55.4742
0.018442	2	7	0	0	56.9236
0.018442	2	6	0	0	47.5266
0.018442	2	5	0	0	45.4193
0.018442	2	4	0	0	48.6652
0.018442	2	3	0	0	52.5687
0.018442	2	2	0	0	49.2116
0.018442	2	1	0	0	50.1547
0.0187545	2	8	0	0	55.4742
0.0187545	2	7	0	0	56.9236
0.0187545	2	6	0	0	47.5266
0.0187545	2	5	0	0	45.4193
0.0187545	2	4	0	0	48.6652
0.0187545	2	3	0	0	52.5687
0.0187545	2	2	0	0	49.2116
0.0187545	2	1	0	0	50.1547
0.0191295	2	8	0	0	55.4742
0.0191295	2	7	0	0	56.9236
0.0191295	2	6	0	0	47.5266
0.0191295	2	5	0	0	45.4193
0.0191295	2	4	0	0	48.6652
0.0191295	2	3	0	0	52.5687
0.0191295	2	2	0	0	49.2116
0.0191295	2	1	0	0	50.1547
0.0200045	2	8	0	0	55.4742
0.0200045	2	7	0	0	56.9236
0.0200045	2	6	0	0	47.5266
0.0200045	2	5	0	0	45.4193
0.0200045	2	4	0	0	48.6652
0.0200045	2	3	0	0	52.5687
0.0200045	2	2	0	0	49.2116
0.0200045	2	1	0	0	50.1547
0.020317	2	8	0	0	55.4742
0.020317	2	7	0	0	56.9236
0.020317	2	6	0	0	47.5266
0.020317	2	5	0	0	45.4193
0.020317	2	4	0	0	48.6652
0.020317	2	3	0	0	52.5687
0.020317	2	2	0	0	49.2116
0.020317	2	1	0	0	50.1547
0.0213795	2	8	0	0	55.4742
0.0213795	2	7	0	0	56.9236
0.0213795	2	6	0	0	47.5266
0.0213795	2	5	0	0	45.4193
0.0213795	2	4	0	0	48.6652
0.0213795	2	3	0	0	52.5687
0.0213795	2	2	0	0	49.2116
0.0213795	2	1	0	0	50.1547
0.0215045	2	8	0	0	55.4742
0.0215045	2	7	0	0	56.9236
0.0215045	2	6	0	0	47.5266
0.0215045	2	5	0	0	45.4193
0.0215045	2	4	0	0	48.6652
0.0215045	2	3	0	0	52.5687
0.0215045	2	2	0	0	49.2116
0.0215045	2	1	0	0	50.1547
0.022567	2	8	0	0	55.4742
0.022567	2	7	0	0	56.9236
0.022567	2	6	0	0	47.5266
0.022567	2	5	0	0	45.4193
0.022567	2	4	0	0	48.6652
0.022567	2	3	0	0	52.5687
0.022567	2	2	0	0	49.2116
0.022567	2	1	0	0	50.1547
0.0227545	2	8	0	0	55.4742
0.0227545	2	7	0	0	56.9236
0.0227545	2	6	0	0	47.5266
0.0227545	2	5	0	0	45.4193
0.0227545	2	4	0	0	48.6652
0.0227545	2	3	0	0	52.5687
0.0227545	2	2	0	0	49.2116
0.0227545	2	1	0	0	50.1547
