Time	Entity	Frame	SF	Slot	nodeId	RNTI	bwpId	Harq ID	K1 Delay
0.332496	HARQ FD Txed	33	2	7	2	4	0	15	2
0.358567	DL DCI Rxed	35	8	9	2	4	0	15	2
0.358746	HARQ FD Txed	35	8	11	2	4	0	15	2
0.384817	DL DCI Rxed	38	4	13	2	4	0	15	2
0.384996	HARQ FD Txed	38	4	15	2	4	0	15	2
0.411004	DL DCI Rxed	41	1	0	2	4	0	15	2
0.411183	HARQ FD Txed	41	1	2	2	4	0	15	2
0.424692	DL DCI Rxed	42	4	11	2	2	0	15	2
0.424871	HARQ FD Txed	42	4	13	2	2	0	15	2
0.437129	DL DCI Rxed	43	7	2	2	2	0	15	2
0.437254	DL DCI Rxed	43	7	4	2	4	0	15	2
0.437308	HARQ FD Txed	43	7	4	2	2	0	15	2
0.437433	HARQ FD Txed	43	7	6	2	4	0	15	2
0.449567	DL DCI Rxed	44	9	9	2	2	0	15	2
0.449746	HARQ FD Txed	44	9	11	2	2	0	15	2
0.457129	DL DCI Rxed	45	7	2	2	2	0	15	2
0.457308	HARQ FD Txed	45	7	4	2	2	0	15	2
0.460629	DL DCI Rxed	46	0	10	2	2	0	15	2
0.460808	HARQ FD Txed	46	0	12	2	2	0	15	2
0.463504	DL DCI Rxed	46	3	8	2	4	0	15	2
0.463683	HARQ FD Txed	46	3	10	2	4	0	15	2
0.465754	DL DCI Rxed	46	5	12	2	2	0	15	2
0.465933	HARQ FD Txed	46	5	14	2	2	0	15	2
0.469379	DL DCI Rxed	46	9	6	2	2	0	15	2
0.469558	HARQ FD Txed	46	9	8	2	2	0	15	2
0.482067	DL DCI Rxed	48	2	1	2	2	0	15	2
0.482246	HARQ FD Txed	48	2	3	2	2	0	15	2
0.489129	DL DCI Rxed	48	9	2	2	2	0	15	2
0.489371	HARQ FD Txed	48	9	5	2	2	0	15	2
0.489692	DL DCI Rxed	48	9	11	2	4	0	15	2
0.489871	HARQ FD Txed	48	9	13	2	4	0	15	2
0.499379	DL DCI Rxed	49	9	6	2	2	0	15	2
0.499558	HARQ FD Txed	49	9	8	2	2	0	15	2
0.506067	DL DCI Rxed	50	6	1	2	2	0	15	2
0.506246	HARQ FD Txed	50	6	3	2	2	0	15	2
0.515942	DL DCI Rxed	51	5	15	2	4	0	15	2
0.516121	HARQ FD Txed	51	6	1	2	4	0	15	2
0.517879	DL DCI Rxed	51	7	14	2	2	0	15	2
0.518058	HARQ FD Txed	51	8	0	2	2	0	15	2
0.522379	DL DCI Rxed	52	2	6	2	2	0	15	2
0.522558	HARQ FD Txed	52	2	8	2	2	0	15	2
0.525442	DL DCI Rxed	52	5	7	2	2	0	15	2
0.525621	HARQ FD Txed	52	5	9	2	2	0	15	2
0.528129	DL DCI Rxed	52	8	2	2	2	0	15	2
0.528308	HARQ FD Txed	52	8	4	2	2	0	15	2
0.532442	DL DCI Rxed	53	2	7	2	2	0	15	2
0.532621	HARQ FD Txed	53	2	9	2	2	0	15	2
0.536879	DL DCI Rxed	53	6	14	2	2	0	15	2
0.537058	HARQ FD Txed	53	7	0	2	2	0	15	2
0.539504	DL DCI Rxed	53	9	8	2	2	0	15	2
0.539683	HARQ FD Txed	53	9	10	2	2	0	15	2
0.542192	DL DCI Rxed	54	2	3	2	4	0	15	2
0.542371	HARQ FD Txed	54	2	5	2	4	0	15	2
0.545942	DL DCI Rxed	54	5	15	2	2	0	15	2
0.546121	HARQ FD Txed	54	6	1	2	2	0	15	2
0.552817	DL DCI Rxed	55	2	13	2	2	0	15	2
0.552879	DL DCI Rxed	55	2	14	2	2	0	14	2
0.552996	HARQ FD Txed	55	2	15	2	2	0	15	2
0.553058	HARQ FD Txed	55	3	0	2	2	0	14	2
0.568379	DL DCI Rxed	56	8	6	2	4	0	15	2
0.568558	HARQ FD Txed	56	8	8	2	4	0	15	2
0.594629	DL DCI Rxed	59	4	10	2	4	0	15	2
0.594808	HARQ FD Txed	59	4	12	2	4	0	15	2
