time(s)	cellId	rnti	lcid	packetSize
3.19782	2	5	3	239
3.19825	2	5	3	239
3.19869	2	5	3	239
3.19913	2	5	3	239
3.19957	2	5	3	239
3.2	2	5	3	239
3.20044	2	5	3	239
3.20088	2	5	3	239
3.20132	2	5	3	239
3.20175	2	5	3	239
3.20219	2	5	3	239
3.20263	2	5	3	239
3.20294	2	1	3	223
3.20307	2	5	3	29
3.20338	2	1	3	223
3.20375	2	1	3	223
3.20419	2	1	3	223
3.20457	2	1	3	223
3.20494	2	1	3	223
3.20544	2	1	3	239
3.20588	2	1	3	239
3.20632	2	1	3	239
3.20675	2	1	3	239
3.20719	2	1	3	239
3.20763	2	1	3	239
3.20807	2	1	3	239
3.2085	2	1	3	239
3.20894	2	1	3	239
3.20938	2	1	3	239
3.20982	2	1	3	239
3.21025	2	1	3	239
3.21069	2	1	3	239
3.21113	2	1	3	239
3.21157	2	1	3	239
3.212	2	1	3	239
3.21244	2	1	3	239
3.21288	2	1	3	239
3.21332	2	1	3	239
3.21375	2	1	3	239
3.21419	2	1	3	239
3.21463	2	1	3	239
3.21507	2	1	3	239
3.2155	2	1	3	239
3.21594	2	1	3	239
3.21638	2	1	3	239
3.21644	2	5	3	223
3.21682	2	5	3	223
3.21682	2	1	3	30
3.21725	2	5	3	223
3.21763	2	5	3	223
3.218	2	5	3	223
3.21838	2	6	3	223
3.21875	2	6	3	223
3.21919	2	6	3	223
3.21957	2	6	3	223
3.22007	2	6	3	239
3.2205	2	6	3	239
3.22094	2	6	3	239
3.22144	2	6	3	239
3.22188	2	6	3	239
3.22232	2	6	3	239
3.22275	2	6	3	239
3.22319	2	6	3	239
3.22363	2	6	3	239
3.22407	2	6	3	239
3.2245	2	6	3	239
3.22494	2	6	3	239
3.22538	2	6	3	239
3.22582	2	6	3	239
3.22625	2	6	3	239
3.22669	2	6	3	239
3.22713	2	6	3	239
3.22757	2	6	3	239
3.228	2	6	3	239
3.22844	2	6	3	239
3.22888	2	6	3	239
3.22932	2	6	3	239
3.22975	2	6	3	239
3.23019	2	6	3	239
3.23063	2	6	3	239
3.23107	2	6	3	239
3.2315	2	6	3	239
3.23194	2	6	3	239
3.23238	2	6	3	415
3.23282	2	6	3	223
3.23319	2	6	3	223
3.23363	2	6	3	223
3.234	2	6	3	223
3.23438	2	6	3	56
3.2345	2	7	3	223
3.23488	2	7	3	223
3.23532	2	7	3	223
3.23569	2	7	3	223
3.23619	2	7	3	239
3.23663	2	7	3	239
3.23707	2	7	3	239
3.2375	2	7	3	239
3.23794	2	7	3	239
3.23838	2	7	3	239
3.23882	2	7	3	239
3.23925	2	7	3	239
3.23969	2	7	3	239
3.24013	2	7	3	239
3.24057	2	7	3	239
3.241	2	7	3	239
3.24144	2	7	3	239
3.24188	2	7	3	239
3.24232	2	7	3	239
3.24275	2	7	3	239
3.24319	2	7	3	239
3.24363	2	7	3	239
3.24407	2	7	3	177
3.24419	2	6	3	223
3.24457	2	6	3	223
3.245	2	6	3	223
3.24538	2	6	3	223
3.24588	2	6	3	239
3.24632	2	6	3	239
3.24675	2	6	3	239
3.24719	2	6	3	239
3.24763	2	6	3	239
3.24807	2	6	3	239
3.2485	2	6	3	239
3.24894	2	6	3	239
3.24938	2	6	3	239
3.24982	2	6	3	239
3.25025	2	6	3	239
3.25069	2	6	3	239
3.25113	2	6	3	239
3.25157	2	6	3	239
3.252	2	6	3	239
3.25244	2	6	3	239
3.25288	2	6	3	239
3.25332	2	6	3	239
3.25375	2	6	3	239
3.25419	2	6	3	239
3.25463	2	6	3	239
3.25507	2	6	3	239
3.2555	2	6	3	239
3.25594	2	6	3	239
3.25644	2	6	3	239
3.25669	2	7	3	223
3.25688	2	6	3	73
3.25713	2	7	3	223
3.2575	2	6	3	223
3.258	2	7	3	239
3.25844	2	7	3	239
3.25888	2	7	3	239
3.25932	2	7	3	239
3.25975	2	7	3	239
3.26019	2	7	3	239
3.26063	2	7	3	239
3.26107	2	7	3	239
3.26132	2	3	3	56
3.2615	2	7	3	239
3.26194	2	7	3	239
3.26238	2	7	3	239
3.26282	2	7	3	239
3.26325	2	7	3	239
3.26369	2	7	3	239
3.26413	2	7	3	239
3.26457	2	7	3	239
3.265	2	7	3	239
3.26544	2	7	3	239
3.26588	2	7	3	239
3.26632	2	7	3	239
3.26675	2	7	3	239
3.26719	2	7	3	239
3.26763	2	7	3	239
3.26807	2	7	3	239
3.2685	2	7	3	239
3.26894	2	7	3	489
3.26938	2	7	3	489
3.26982	2	7	3	740
3.27025	2	7	3	239
3.27069	2	7	3	740
3.27113	2	7	3	489
3.27157	2	7	3	489
3.272	2	7	3	740
3.27244	2	7	3	489
3.27288	2	7	3	489
3.27332	2	7	3	489
3.27375	2	7	3	740
3.27419	2	7	3	489
3.27463	2	7	3	489
3.27507	2	7	3	740
3.2755	2	7	3	489
3.27594	2	7	3	489
3.27638	2	7	3	489
3.27657	2	1	3	223
3.27682	2	7	3	36
3.27694	2	1	3	223
3.27738	2	1	3	223
3.27775	2	1	3	223
3.27825	2	1	3	239
3.27869	2	1	3	239
3.27913	2	1	3	239
3.27957	2	1	3	239
3.28	2	1	3	239
3.28044	2	1	3	239
3.28088	2	1	3	239
3.28132	2	1	3	239
3.28175	2	1	3	239
3.28219	2	1	3	239
3.28263	2	1	3	239
3.28307	2	1	3	239
3.2835	2	1	3	239
3.28394	2	1	3	239
3.28438	2	1	3	239
3.28482	2	1	3	239
3.28525	2	1	3	239
3.28569	2	1	3	239
3.28613	2	1	3	239
3.28657	2	1	3	239
3.287	2	1	3	239
3.28744	2	1	3	239
3.28788	2	1	3	239
3.28832	2	1	3	239
3.28875	2	1	3	239
3.28919	2	1	3	239
3.28963	2	1	3	239
3.29007	2	1	3	239
3.2905	2	1	3	239
3.29094	2	1	3	239
3.29138	2	1	3	239
3.29182	2	1	3	239
3.29225	2	1	3	239
3.29269	2	1	3	239
3.29313	2	1	3	239
3.29319	2	6	3	112
3.29357	2	6	3	112
3.29357	2	1	3	200
3.294	2	6	3	112
3.29413	2	1	3	167
3.29438	2	6	3	112
3.29469	2	1	3	223
3.29519	2	1	3	239
3.29563	2	1	3	239
3.29607	2	1	3	239
3.2965	2	1	3	239
3.29694	2	1	3	239
3.29738	2	1	3	239
3.29782	2	1	3	239
3.298	2	6	3	112
3.29825	2	1	3	118
3.29838	2	6	3	112
3.29875	2	6	3	112
3.29882	2	1	3	167
3.29919	2	6	3	112
3.29938	2	1	3	167
3.29975	2	1	3	223
3.30013	2	1	3	223
3.30069	2	1	3	239
3.30113	2	1	3	239
3.30157	2	1	3	239
3.302	2	1	3	239
3.30225	2	5	3	239
3.30244	2	1	3	239
3.30269	2	5	3	169
3.30288	2	1	3	239
3.30332	2	1	3	239
3.3035	2	6	3	112
3.30375	2	1	3	174
3.30394	2	6	3	112
3.30432	2	6	3	112
3.30432	2	1	3	112
3.30469	2	1	3	112
3.30475	2	6	3	112
3.30513	2	1	3	223
3.3055	2	1	3	223
3.30588	2	1	3	167
3.30613	2	6	3	223
3.30657	2	6	3	223
3.30694	2	6	3	223
3.30744	2	6	3	239
3.30788	2	6	3	239
3.30832	2	6	3	239
3.30875	2	6	3	239
3.30919	2	6	3	239
3.30963	2	6	3	239
3.31007	2	6	3	239
3.3105	2	6	3	239
3.31094	2	6	3	239
3.31144	2	6	3	239
3.31188	2	6	3	239
3.31232	2	6	3	239
3.31275	2	6	3	239
3.31319	2	6	3	239
3.31363	2	6	3	239
3.31407	2	6	3	239
3.3145	2	6	3	239
3.31494	2	6	3	239
3.31538	2	6	3	239
3.31582	2	6	3	239
3.31625	2	6	3	239
3.31669	2	6	3	239
3.31713	2	6	3	239
3.31757	2	6	3	239
3.318	2	6	3	239
3.31844	2	6	3	239
3.31888	2	6	3	239
3.31932	2	6	3	239
3.31975	2	6	3	239
3.32019	2	6	3	239
3.32063	2	6	3	239
3.32107	2	6	3	239
3.3215	2	6	3	239
3.32194	2	6	3	239
3.32238	2	6	3	239
3.32282	2	6	3	422
3.32319	2	6	3	223
3.32369	2	6	3	239
3.32413	2	6	3	239
3.32457	2	6	3	239
3.325	2	6	3	239
3.32544	2	6	3	239
3.32588	2	6	3	239
3.32632	2	6	3	239
3.32675	2	6	3	239
3.32719	2	6	3	239
3.32763	2	6	3	239
3.32807	2	6	3	239
3.3285	2	6	3	239
3.32894	2	6	3	239
3.32938	2	6	3	239
3.32982	2	6	3	239
3.33025	2	6	3	239
3.33069	2	6	3	239
3.33113	2	6	3	239
3.33157	2	6	3	239
3.332	2	6	3	239
3.33244	2	6	3	239
3.33288	2	6	3	239
3.33332	2	6	3	239
3.33375	2	6	3	239
3.33419	2	6	3	239
3.33463	2	6	3	239
3.33507	2	6	3	239
3.3355	2	6	3	239
3.33594	2	6	3	193
3.336	2	7	3	239
3.33644	2	7	3	489
3.33688	2	7	3	489
3.33732	2	7	3	489
3.33775	2	7	3	740
3.33819	2	7	3	487
3.33863	2	7	3	489
3.33907	2	7	3	489
3.3395	2	7	3	488
3.33994	2	7	3	740
3.34038	2	7	3	489
3.34082	2	7	3	489
3.34125	2	7	3	740
3.34169	2	7	3	489
3.34213	2	7	3	489
3.34263	2	7	3	489
3.34307	2	7	3	740
3.3435	2	7	3	489
3.34394	2	7	3	489
3.34438	2	7	3	740
3.34482	2	7	3	489
3.34525	2	7	3	489
3.34569	2	7	3	489
3.34613	2	7	3	740
3.34657	2	7	3	489
3.347	2	7	3	489
3.34744	2	7	3	740
3.34788	2	7	3	489
3.34832	2	7	3	489
3.34875	2	7	3	489
3.34919	2	7	3	740
3.34963	2	7	3	239
3.35007	2	7	3	740
3.3505	2	7	3	489
3.35094	2	7	3	487
3.35138	2	7	3	740
3.35182	2	7	3	489
3.35225	2	7	3	489
3.35269	2	7	3	740
3.35313	2	7	3	489
3.35357	2	7	3	489
3.354	2	7	3	489
3.35444	2	7	3	740
3.35488	2	7	3	239
3.35532	2	7	3	705
3.35538	2	6	3	223
3.35582	2	6	3	223
3.35619	2	6	3	223
3.35675	2	6	3	239
3.35719	2	6	3	239
3.35763	2	6	3	239
3.35807	2	6	3	239
3.3585	2	6	3	239
3.35894	2	6	3	239
3.35938	2	6	3	239
3.35982	2	6	3	239
3.36025	2	6	3	239
3.36069	2	6	3	239
3.36113	2	6	3	239
3.36157	2	6	3	239
3.362	2	6	3	239
3.36244	2	6	3	239
3.36288	2	6	3	239
3.36332	2	6	3	239
3.36375	2	6	3	239
3.36419	2	6	3	239
3.36463	2	6	3	239
3.36507	2	6	3	239
3.3655	2	6	3	239
3.36594	2	6	3	239
3.36644	2	6	3	239
