time(s)	cellId	rnti	lcid	packetSize	delay(s)
0.906439	2	1	3	592	0.000251783
0.906502	2	1	3	592	0.000251783
0.906564	2	1	3	592	0.000251783
0.906649	2	1	3	1184	0.000274103
0.906689	2	1	3	592	0.000251783
0.906752	2	1	3	592	0.000251783
0.906814	2	1	3	592	0.000251783
0.906899	2	1	3	1184	0.000274103
0.906939	2	1	3	592	0.000251783
0.907002	2	1	3	592	0.000251783
0.907064	2	1	3	592	0.000251783
0.907149	2	1	3	1184	0.000274103
0.907189	2	1	3	592	0.000251783
0.907252	2	1	3	592	0.000251783
0.907314	2	1	3	592	0.000251783
0.907399	2	1	3	1184	0.000274103
0.907439	2	1	3	592	0.000251783
0.907502	2	1	3	592	0.000251783
0.907564	2	1	3	592	0.000251783
0.907627	2	1	3	592	0.000251783
0.907712	2	1	3	1184	0.000274103
0.907752	2	1	3	592	0.000251783
0.907814	2	1	3	592	0.000251783
0.907877	2	1	3	592	0.000251783
0.907962	2	1	3	1184	0.000274103
0.908002	2	1	3	592	0.000251783
0.908064	2	1	3	592	0.000251783
0.908127	2	1	3	592	0.000251783
0.908212	2	1	3	1184	0.000274103
0.908252	2	1	3	592	0.000251783
0.908314	2	1	3	592	0.000251783
0.908377	2	1	3	592	0.000251783
0.908462	2	1	3	1184	0.000274103
0.908502	2	1	3	592	0.000251783
0.908564	2	1	3	592	0.000251783
0.908627	2	1	3	592	0.000251783
0.908712	2	1	3	1184	0.000274103
0.908752	2	1	3	592	0.000251783
0.908814	2	1	3	592	0.000251783
0.908877	2	1	3	592	0.000251783
0.908962	2	1	3	1184	0.000274103
0.909002	2	1	3	592	0.000251783
0.909064	2	1	3	592	0.000251783
0.909127	2	1	3	592	0.000251783
0.909189	2	1	3	592	0.000251783
0.909274	2	1	3	1184	0.000274103
0.909314	2	1	3	592	0.000251783
0.909377	2	1	3	592	0.000251783
0.909439	2	1	3	592	0.000251783
0.909524	2	1	3	1184	0.000274103
0.909564	2	1	3	592	0.000251783
0.909627	2	1	3	592	0.000251783
0.909689	2	1	3	592	0.000251783
0.909774	2	1	3	1184	0.000274103
0.909814	2	1	3	592	0.000251783
0.909877	2	1	3	592	0.000251783
0.909939	2	1	3	592	0.000251783
0.910024	2	1	3	1184	0.000274103
0.993752	2	1	3	592	0.000251783
0.993837	2	1	3	1184	0.000274103
0.993877	2	1	3	592	0.000251783
0.994189	2	1	3	592	0.000251783
0.994274	2	1	3	1184	0.000274103
0.994314	2	1	3	592	0.000251783
0.994377	2	1	3	592	0.000251783
0.994439	2	1	3	592	0.000251783
0.994524	2	1	3	1184	0.000274103
0.994627	2	1	3	592	0.000251783
0.994712	2	1	3	1184	0.000274103
0.994752	2	1	3	592	0.000251783
0.994814	2	1	3	592	0.000251783
0.994877	2	1	3	592	0.000251783
0.994962	2	1	3	1184	0.000274103
0.995002	2	1	3	592	0.000251783
0.995064	2	1	3	592	0.000251783
0.995127	2	1	3	592	0.000251783
0.995212	2	1	3	1184	0.000274103
0.995252	2	1	3	592	0.000251783
0.995314	2	1	3	592	0.000251783
0.995377	2	1	3	592	0.000251783
0.995462	2	1	3	1184	0.000274103
0.995502	2	1	3	592	0.000251783
0.995564	2	1	3	592	0.000251783
0.995627	2	1	3	592	0.000251783
0.995689	2	1	3	592	0.000251783
0.995774	2	1	3	1184	0.000274103
0.995814	2	1	3	592	0.000251783
0.995877	2	1	3	592	0.000251783
0.995939	2	1	3	592	0.000251783
0.996024	2	1	3	1184	0.000274103
0.996064	2	1	3	592	0.000251783
0.996127	2	1	3	592	0.000251783
0.996189	2	1	3	592	0.000251783
0.996274	2	1	3	1184	0.000274103
0.996314	2	1	3	592	0.000251783
0.996377	2	1	3	592	0.000251783
0.996439	2	1	3	592	0.000251783
0.996524	2	1	3	1184	0.000274103
0.996564	2	1	3	592	0.000251783
0.996627	2	1	3	592	0.000251783
0.996689	2	1	3	592	0.000251783
0.996774	2	1	3	1184	0.000274103
0.996814	2	1	3	592	0.000251783
0.996877	2	1	3	592	0.000251783
0.996939	2	1	3	592	0.000251783
0.997024	2	1	3	1184	0.000274103
0.997064	2	1	3	592	0.000251783
0.997127	2	1	3	592	0.000251783
0.997189	2	1	3	592	0.000251783
0.997252	2	1	3	592	0.000251783
0.997337	2	1	3	1184	0.000274103
0.997377	2	1	3	592	0.000251783
0.997439	2	1	3	592	0.000251783
0.997502	2	1	3	592	0.000251783
0.997587	2	1	3	1184	0.000274103
0.997627	2	1	3	592	0.000251783
0.997689	2	1	3	592	0.000251783
0.997752	2	1	3	592	0.000251783
0.997837	2	1	3	1184	0.000274103
0.997877	2	1	3	592	0.000251783
0.997939	2	1	3	592	0.000251783
0.998002	2	1	3	592	0.000251783
0.998087	2	1	3	1184	0.000274103
0.998127	2	1	3	592	0.000251783
0.998189	2	1	3	592	0.000251783
0.998252	2	1	3	592	0.000251783
0.998337	2	1	3	1184	0.000274103
0.998377	2	1	3	592	0.000251783
0.998439	2	1	3	592	0.000251783
0.998502	2	1	3	592	0.000251783
0.998587	2	1	3	1184	0.000274103
0.998627	2	1	3	592	0.000251783
0.998689	2	1	3	592	0.000251783
0.998752	2	1	3	592	0.000251783
0.998814	2	1	3	592	0.000251783
0.998899	2	1	3	1184	0.000274103
0.998939	2	1	3	592	0.000251783
0.999002	2	1	3	592	0.000251783
0.999064	2	1	3	592	0.000251783
0.999149	2	1	3	1184	0.000274103
0.999189	2	1	3	592	0.000251783
0.999252	2	1	3	592	0.000251783
0.999337	2	1	3	1112	0.000274103
0.999377	2	1	3	592	0.000251783
0.999439	2	1	3	592	0.000251783
0.999497	2	1	3	448	0.000247319
0.999587	2	1	3	1184	0.000274103
0.999627	2	1	3	592	0.000251783
0.999685	2	1	3	448	0.000247319
1.00063	2	1	3	592	0.000251783
1.00071	2	1	3	1184	0.000274103
1.00075	2	1	3	448	0.000247319
1.00219	2	1	3	592	0.000251783
1.00225	2	1	3	592	0.000251783
1.00231	2	1	3	592	0.000251783
1.00237	2	1	3	448	0.000247319
1.00381	2	1	3	592	0.000251783
1.00388	2	1	3	592	0.000251783
1.00396	2	1	3	1040	0.000269639
1.00546	2	1	3	1184	0.000274103
1.0055	2	1	3	592	0.000251783
1.00556	2	1	3	448	0.000247319
1.007	2	1	3	592	0.000251783
1.00706	2	1	3	592	0.000251783
1.00714	2	1	3	1040	0.000269639
1.00863	2	1	3	592	0.000251783
1.00871	2	1	3	1184	0.000274103
1.00875	2	1	3	448	0.000247319
1.01019	2	1	3	592	0.000251783
1.01025	2	1	3	592	0.000251783
1.01031	2	1	3	592	0.000251783
1.01037	2	1	3	448	0.000247319
1.01181	2	1	3	592	0.000251783
1.01188	2	1	3	592	0.000251783
1.01196	2	1	3	1040	0.000269639
1.01346	2	1	3	1184	0.000274103
1.0135	2	1	3	592	0.000251783
1.01356	2	1	3	448	0.000247319
1.015	2	1	3	592	0.000251783
1.01506	2	1	3	592	0.000251783
1.01514	2	1	3	1040	0.000269639
1.01663	2	1	3	592	0.000251783
1.01671	2	1	3	1184	0.000274103
1.01675	2	1	3	448	0.000247319
1.01819	2	1	3	592	0.000251783
1.01825	2	1	3	592	0.000251783
1.01831	2	1	3	592	0.000251783
1.01837	2	1	3	448	0.000247319
1.01981	2	1	3	592	0.000251783
1.01988	2	1	3	592	0.000251783
1.01996	2	1	3	1040	0.000269639
1.02146	2	1	3	1184	0.000274103
1.0215	2	1	3	592	0.000251783
1.02156	2	1	3	448	0.000247319
1.023	2	1	3	592	0.000251783
1.02306	2	1	3	592	0.000251783
1.02314	2	1	3	1040	0.000269639
1.02463	2	1	3	592	0.000251783
1.02471	2	1	3	1184	0.000274103
1.02475	2	1	3	448	0.000247319
1.02619	2	1	3	592	0.000251783
1.02625	2	1	3	592	0.000251783
1.02631	2	1	3	592	0.000251783
1.02637	2	1	3	448	0.000247319
1.02781	2	1	3	592	0.000251783
1.02788	2	1	3	592	0.000251783
1.02796	2	1	3	1040	0.000269639
1.02946	2	1	3	1184	0.000274103
1.0295	2	1	3	592	0.000251783
1.02956	2	1	3	448	0.000247319
1.031	2	1	3	592	0.000251783
1.03106	2	1	3	592	0.000251783
1.03114	2	1	3	1040	0.000269639
1.03263	2	1	3	592	0.000251783
1.03271	2	1	3	1184	0.000274103
1.03275	2	1	3	448	0.000247319
1.03419	2	1	3	592	0.000251783
1.03425	2	1	3	592	0.000251783
1.03431	2	1	3	592	0.000251783
1.03437	2	1	3	448	0.000247319
1.03581	2	1	3	592	0.000251783
1.03588	2	1	3	592	0.000251783
1.03596	2	1	3	1040	0.000269639
1.03746	2	1	3	1184	0.000274103
1.0375	2	1	3	592	0.000251783
1.03756	2	1	3	448	0.000247319
1.039	2	1	3	592	0.000251783
1.03906	2	1	3	592	0.000251783
1.03914	2	1	3	1040	0.000269639
1.04063	2	1	3	592	0.000251783
1.04071	2	1	3	1184	0.000274103
1.04075	2	1	3	448	0.000247319
1.04219	2	1	3	592	0.000251783
1.04225	2	1	3	592	0.000251783
1.04231	2	1	3	592	0.000251783
1.04237	2	1	3	448	0.000247319
1.04381	2	1	3	592	0.000251783
1.04388	2	1	3	592	0.000251783
1.04396	2	1	3	1040	0.000269639
1.04546	2	1	3	1184	0.000274103
1.0455	2	1	3	592	0.000251783
1.04556	2	1	3	448	0.000247319
1.047	2	1	3	592	0.000251783
1.04706	2	1	3	592	0.000251783
1.04714	2	1	3	1040	0.000269639
1.04863	2	1	3	592	0.000251783
1.04871	2	1	3	1184	0.000274103
1.04875	2	1	3	448	0.000247319
1.05019	2	1	3	592	0.000251783
1.05025	2	1	3	592	0.000251783
1.05031	2	1	3	592	0.000251783
1.05037	2	1	3	448	0.000247319
1.05181	2	1	3	592	0.000251783
1.05188	2	1	3	592	0.000251783
1.05196	2	1	3	1040	0.000269639
1.05346	2	1	3	1184	0.000274103
1.0535	2	1	3	592	0.000251783
1.05356	2	1	3	448	0.000247319
1.055	2	1	3	592	0.000251783
1.05506	2	1	3	592	0.000251783
1.05514	2	1	3	1040	0.000269639
1.08546	2	1	3	1184	0.000274103
1.0855	2	1	3	592	0.000251783
1.08556	2	1	3	448	0.000247319
1.087	2	1	3	592	0.000251783
1.08706	2	1	3	592	0.000251783
1.08714	2	1	3	1040	0.000269639
1.08863	2	1	3	592	0.000251783
1.08871	2	1	3	1184	0.000274103
